text,label
"Congratulations! You have been selected for the position. Pay ₹3000 registration fee to confirm your offer.",1
"Pay training fee of ₹5000 immediately to secure your job at Amazon.",1
"Urgent: Limited slots available. Pay ₹2000 now to confirm your joining.",1
"You are selected! Send ₹1500 as security deposit to HR within 24 hours.",1
"Pay ₹4000 as onboarding charges to activate your offer letter.",1
"Your job is confirmed. Transfer ₹6000 to this account to receive your appointment letter.",1
"Congratulations on your selection. Pay ₹2500 registration fee to proceed.",1
"Send ₹3500 as training deposit to confirm your position at our company.",1
"Pay ₹1000 processing fee to get your offer letter released immediately.",1
"You have been hired! Pay ₹8000 as equipment deposit before joining.",1
"We found your profile on Naukri. You are selected. Pay ₹2000 to confirm.",1
"Job confirmed at MNC. Pay ₹5000 as refundable security deposit now.",1
"Your application is approved. Pay ₹1200 admin fee to complete the process.",1
"Immediate joining available. Pay ₹3000 to block your seat.",1
"You are shortlisted for a high-paying job. Pay ₹4500 to get the offer letter.",1
"Work from home job confirmed. Pay ₹2000 for laptop and kit delivery.",1
"You are selected for data entry job. Pay ₹1500 for ID card and materials.",1
"Earn ₹50000/month from home. Pay ₹3000 registration to start immediately.",1
"Part-time job offer confirmed. Pay ₹999 to activate your account.",1
"You are hired as a remote consultant. Pay ₹2500 for system access credentials.",1
"Send your Aadhaar and PAN card to confirm your job offer at TCS.",1
"We need your bank account details to process your joining bonus.",1
"Share your personal details and passport copy to complete the hiring process.",1
"Your offer letter is ready. Share your OTP to verify your identity and receive it.",1
"Congratulations! You are selected. Click this link to confirm: http://amaz0n-jobs.tk/confirm",1
"Your job offer from Google is ready. Verify at http://google-hiring-india.xyz",1
"You are selected for Microsoft. Complete verification at http://ms-jobs-india.net/verify",1
"Claim your job offer from Infosys at http://infosys-recruitment2024.com/offer",1
"Amazon is hiring you. Confirm your slot at http://amazon-jobs-apply.ml",1
"You are selected for a government job. Apply now at http://sarkari-naukri-official.tk",1
"Congratulations from HR team. No interview needed, you are directly selected.",1
"You are hired based on your LinkedIn profile. No interview required. Join Monday.",1
"Direct selection without interview. Salary ₹80000/month. Confirm now.",1
"You are pre-selected for this role. No rounds needed. Just pay and join.",1
"Our company is hiring 500 people urgently. No experience needed. Salary ₹60000.",1
"Work from home, earn ₹5000 daily, no skills required, immediate joining.",1
"Guaranteed job placement in 3 days. Contact us on WhatsApp immediately.",1
"You are selected for a confidential government project. Do not tell anyone.",1
"This is a secret job offer. Reply only on this personal number, not official channels.",1
"Your resume was selected from a database. Confirm your interest within 2 hours or lose the offer.",1
